OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
241,2,2026500,3058980,2275292,74.38,7335,5625,76.69,CD Eligible,2026500
242,2,2026601,1609831,1401897,87.08,3105,2030,65.38,CD Eligible,2026601
243,2,2026602,3097246,2497515,80.64,5225,3470,66.41,CD Eligible,2026602
212,2,2026701,1542321,1442679,93.54,3990,2665,66.79,CD Eligible,2026701
245,2,2026702,2824141,2731917,96.73,7845,6240,79.54,CD Eligible,2026702
1998,2,2026900,2529579,1709640,67.59,3605,2530,70.18,CD Eligible,2026900
246,2,2027300,3352625,2865498,85.47,7095,5825,82.1,CD Eligible,2027300
981,2,2027401,2448290,1979125,80.84,5040,1815,36.01,Ineligible,2027401
982,2,2027402,2104092,1518127,72.15,3180,1090,34.28,Ineligible,2027402
2164,2,2027600,8376,1326,15.83,260,260,100,Ineligible,2027600
247,2,2027700,2011170,1863975,92.68,4490,3640,81.07,CD Eligible,2027700
248,2,2027900,3764617,3389442,90.03,7470,4950,66.27,CD Eligible,2027900
2024,2,2028100,2437247,2003543,82.21,3565,1690,47.41,Ineligible,2028100
970,2,2028300,2106285,894009,42.44,2085,1460,70.02,Ineligible,2028300
251,2,2030000,3209143,2566764,79.98,6370,2915,45.76,Ineligible,2030000
2256,2,2036400,1220159,835900,68.51,2610,1345,51.53,CD Eligible,2036400
1982,2,2028400,5241431,48330,0.92,0,0,0,Ineligible,2028400
971,2,2028500,2503028,1704677,68.1,3540,2070,58.47,CD Eligible,2028500
249,2,2028600,2133896,479339,22.46,950,270,28.42,Ineligible,2028600
244,2,2028700,1824961,1409614,77.24,3240,2195,67.75,CD Eligible,2028700
191,2,2028800,1873263,1370337,73.15,3240,1260,38.89,Ineligible,2028800
2061,2,2028900,2613793,2005917,76.74,4415,3290,74.52,CD Eligible,2028900
2262,2,2029700,2981253,2484419,83.33,3685,1135,30.8,Ineligible,2029700
841,2,2029301,1540345,1429561,92.81,1590,375,23.58,Ineligible,2029301
2013,2,2029302,4098244,3320420,81.02,5420,1250,23.06,Ineligible,2029302
2016,2,2029500,3042006,2730454,89.76,4380,1500,34.25,Ineligible,2029500
250,2,2029600,4728644,848862,17.95,1655,1100,66.47,Ineligible,2029600
269,2,2036300,3244413,2805496,86.47,6785,6055,89.24,CD Eligible,2036300
252,2,2030100,1268922,786567,61.99,1095,295,26.94,Ineligible,2030100
2165,2,2030201,2836771,2385412,84.09,3810,2135,56.04,CD Eligible,2030201
2199,2,2030202,3697656,3255747,88.05,5105,3330,65.23,CD Eligible,2030202
253,2,2030701,4385943,3753926,85.59,5825,1045,17.94,Ineligible,2030701
262,2,2032400,1763979,1071088,60.72,3260,2675,82.06,CD Eligible,2032400
263,2,2032600,1595808,1128382,70.71,3505,1625,46.36,Ineligible,2032600
256,2,2030900,3516881,2178325,61.94,2865,1030,35.95,Ineligible,2030900
1955,2,2031000,2553826,1456435,57.03,3635,1145,31.5,Ineligible,2031000
257,2,2031200,922674,611764,66.3,1530,540,35.29,Ineligible,2031200
258,2,2031400,1059161,678620,64.07,1905,645,33.86,Ineligible,2031400
259,2,2031600,832769,620143,74.47,1975,905,45.82,Ineligible,2031600
260,2,2031800,840714,613935,73.03,2045,600,29.34,Ineligible,2031800
261,2,2031900,541044,30885,5.71,0,0,0,Ineligible,2031900
1866,2,2032300,3654035,3038005,83.14,4320,1660,38.43,Ineligible,2032300
1191,3,3018700,813736,618280,75.98,1375,640,46.55,Ineligible,3018700
254,2,2032800,1707658,1403209,82.17,3985,3035,76.16,CD Eligible,2032800
2301,2,2033000,2515045,2053531,81.65,5440,4195,77.11,CD Eligible,2033000
2299,2,2033201,2154968,1826324,84.75,5280,3970,75.19,CD Eligible,2033201
2300,2,2033202,2084781,1692649,81.19,3375,2010,59.56,CD Eligible,2033202
1970,2,2033400,1003351,205050,20.44,0,0,0,Ineligible,2033400
266,2,2034300,834406,725211,86.91,1450,630,43.45,Ineligible,2034300
2263,2,2033500,2169753,1647399,75.93,1530,465,30.39,Ineligible,2033500
255,2,2033601,1929707,1797399,93.14,4590,3170,69.06,CD Eligible,2033601
152,2,2033602,769068,709467,92.25,1680,1250,74.4,CD Eligible,2033602
1867,2,2033700,1866041,1378041,73.85,2600,830,31.92,Ineligible,2033700
2244,2,2033801,869172,718466,82.66,2260,1595,70.58,CD Eligible,2033801
2312,2,2033802,657874,539063,81.94,1620,1415,87.35,CD Eligible,2033802
264,2,2034000,1891022,1690137,89.38,5610,4355,77.63,CD Eligible,2034000
265,2,2034200,805328,546599,67.87,1700,870,51.18,CD Eligible,2034200
267,2,2034400,743923,530449,71.3,2200,1495,67.95,CD Eligible,2034400
1746,2,2034500,2079601,1812526,87.16,3025,990,32.73,Ineligible,2034500
2124,2,2034800,2599800,1999161,76.9,5870,4440,75.64,CD Eligible,2034800
865,2,2035000,834334,632524,75.81,2130,990,46.48,Ineligible,2035000
1849,2,2035100,2757857,1526920,55.37,2730,1170,42.86,Ineligible,2035100
2274,2,2035600,1316577,682935,51.87,2150,810,37.67,Ineligible,2035600
2029,2,2035800,2873455,2251434,78.35,8525,3830,44.93,Ineligible,2035800
268,2,2035900,2146045,1729087,80.57,2055,1765,85.89,CD Eligible,2035900
270,2,2036501,1587780,1331667,83.87,3865,3395,87.84,CD Eligible,2036501
955,2,2036502,1014769,883143,87.03,2375,2065,86.95,CD Eligible,2036502
956,2,2036700,1184343,913843,77.16,1785,1445,80.95,CD Eligible,2036700
2257,2,2036800,957941,664168,69.33,2015,1005,49.88,Ineligible,2036800
271,2,2036901,1740019,1135442,65.25,1990,1820,91.46,CD Eligible,2036901
272,2,2036902,920438,770606,83.72,2045,1805,88.26,CD Eligible,2036902
273,2,2037000,954496,719039,75.33,2315,1255,54.21,CD Eligible,2037000
274,2,2037100,2186789,1813556,82.93,4165,3585,86.07,CD Eligible,2037100
2313,2,2037200,1519588,771502,50.77,2150,1255,58.37,CD Eligible,2037200
275,2,2037300,2397223,2097898,87.51,6040,5130,84.93,CD Eligible,2037300
276,2,2037400,1849682,1520660,82.21,3685,3140,85.21,CD Eligible,2037400
277,2,2037504,2952838,1524864,51.64,3155,2955,93.66,CD Eligible,2037504
1744,2,2037600,885304,707190,79.88,2155,1375,63.81,CD Eligible,2037600
1995,2,2037800,1381362,1167968,84.55,3125,2480,79.36,CD Eligible,2037800
1906,2,2037900,3292281,2247045,68.25,5110,4200,82.19,CD Eligible,2037900
1996,2,2038000,2631560,2187471,83.12,5240,4265,81.39,CD Eligible,2038000
1907,2,2038100,2807483,2571757,91.6,7735,6425,83.06,CD Eligible,2038100
278,2,2038200,1006294,829284,82.41,2940,1900,64.63,CD Eligible,2038200
279,2,2038301,1592504,1353906,85.02,4860,3725,76.65,CD Eligible,2038301
2056,2,2038303,1632704,1346309,82.46,3700,3125,84.46,CD Eligible,2038303
954,2,2038304,1258221,816603,64.9,2280,2235,98.03,CD Eligible,2038304
968,2,2038500,2609989,1956436,74.96,4280,3960,92.52,CD Eligible,2038500
280,2,2038600,3085593,2626156,85.11,9470,5635,59.5,CD Eligible,2038600
2197,2,2038700,2506637,1293083,51.59,3620,3285,90.75,CD Eligible,2038700
281,2,2038800,937560,792197,84.5,2880,1735,60.24,CD Eligible,2038800
2198,2,2038900,2184417,1803113,82.54,5175,4705,90.92,CD Eligible,2038900
282,2,2039000,1524602,1113537,73.04,2855,2230,78.11,CD Eligible,2039000
283,2,2039100,2952285,2314602,78.4,7520,6170,82.05,CD Eligible,2039100
284,2,2039200,816649,603902,73.95,1600,1180,73.75,CD Eligible,2039200
861,2,2039300,2892105,2377004,82.19,8040,6960,86.57,CD Eligible,2039300
285,2,2039400,1951152,1654578,84.8,5100,3585,70.29,CD Eligible,2039400
969,2,2039500,3314370,1711304,51.63,3925,3360,85.61,CD Eligible,2039500
286,2,2039600,1751590,1364034,77.87,4485,3365,75.03,CD Eligible,2039600
860,2,2039700,3238252,1422507,43.93,945,790,83.6,Ineligible,2039700
287,2,2039800,1186202,965355,81.38,4150,2655,63.98,CD Eligible,2039800
879,2,2039901,2423879,1747073,72.08,5620,5130,91.28,CD Eligible,2039901
2057,2,2039902,2316045,1627756,70.28,5525,4700,85.07,CD Eligible,2039902
880,2,2040100,2520546,1707927,67.76,4550,4060,89.23,CD Eligible,2040100
288,2,2040302,1661988,1609964,96.87,5105,4335,84.92,CD Eligible,2040302
289,2,2040303,1891701,1795424,94.91,4250,3660,86.12,CD Eligible,2040303
290,2,2040304,1798112,1622182,90.22,3215,2825,87.87,CD Eligible,2040304
291,2,2040400,1521844,1000941,65.77,3510,1120,31.91,Ineligible,2040400
292,2,2040501,1731001,1418651,81.96,4130,3880,93.95,CD Eligible,2040501
293,2,2040502,2798419,2560422,91.5,7240,5755,79.49,CD Eligible,2040502
294,2,2040600,1507888,1175725,77.97,3600,2805,77.92,CD Eligible,2040600
295,2,2040701,1482098,1406358,94.89,3095,2695,87.08,CD Eligible,2040701
296,2,2040702,3172817,2737921,86.29,6550,5535,84.5,CD Eligible,2040702
297,2,2040800,1552413,1417448,91.31,4695,3845,81.9,CD Eligible,2040800
1892,2,2040900,5116087,1674884,32.74,3290,2150,65.35,Ineligible,2040900
993,2,2041100,2181206,1747501,80.12,3550,2815,79.3,CD Eligible,2041100
995,2,2041300,4139713,3822429,92.34,8825,5680,64.36,CD Eligible,2041300
2260,2,2041400,2800220,1921114,68.61,5125,3165,61.76,CD Eligible,2041400
298,2,2041500,2779779,2541970,91.45,6100,5340,87.54,CD Eligible,2041500
1192,3,3018800,1157671,1018487,87.98,2895,1670,57.69,CD Eligible,3018800
2261,2,2041800,1758666,1205795,68.56,3475,2005,57.7,CD Eligible,2041800
299,2,2041900,3622576,2745389,75.79,6005,4610,76.77,CD Eligible,2041900
300,2,2042000,2517484,1378414,54.75,4140,3180,76.81,CD Eligible,2042000
1893,2,2042100,4550509,2656886,58.39,5440,4570,84.01,CD Eligible,2042100
301,2,2042200,1312120,1063626,81.06,2865,2150,75.04,CD Eligible,2042200
302,2,2042300,1725388,1507220,87.36,4025,2565,63.73,CD Eligible,2042300
303,2,2042400,989194,712103,71.99,2395,1310,54.7,CD Eligible,2042400
845,2,2042500,3493330,2442033,69.91,6220,4485,72.11,CD Eligible,2042500
790,2,2042600,2559204,2159185,84.37,7140,3355,46.99,Ineligible,2042600
304,2,2042800,907957,652722,71.89,1975,770,38.99,Ineligible,2042800
765,2,2042901,1565556,1405125,89.75,3225,2665,82.64,CD Eligible,2042901
306,2,2043000,1106077,956798,86.5,3495,2080,59.51,CD Eligible,2043000
307,2,2043101,2211050,1741240,78.75,5625,4980,88.53,CD Eligible,2043101
779,2,2043102,2443812,1835969,75.13,4205,3550,84.42,CD Eligible,2043102
308,2,2043400,1842856,1249261,67.79,3790,1900,50.13,Ineligible,2043400
998,2,2043501,524351,476140,90.81,755,745,98.68,CD Eligible,2043501
960,2,2043502,61055,0,0,0,0,0,Ineligible,2043502
999,2,2045101,1156659,948628,82.01,1515,845,55.78,CD Eligible,2045101
1958,2,2045102,1267283,1051403,82.97,2080,955,45.91,Ineligible,2045102
2025,2,2043503,118670,0,0,0,0,0,Ineligible,2043503
309,2,2043600,795007,645130,81.15,1925,1085,56.36,CD Eligible,2043600
310,2,2044200,1481697,1215573,82.04,3910,3045,77.88,CD Eligible,2044200
311,2,2044400,1490653,1265563,84.9,4440,2795,62.95,CD Eligible,2044400
312,2,2044800,769177,662621,86.15,2070,955,46.14,Ineligible,2044800
313,2,2044901,1157045,1067118,92.23,1750,780,44.57,Ineligible,2044901
314,2,2044902,1149176,982424,85.49,2030,995,49.01,Ineligible,2044902
315,2,2045600,1961686,1199294,61.14,3395,1435,42.27,Ineligible,2045600
317,2,2045800,2210270,2067010,93.52,5415,5050,93.26,CD Eligible,2045800
1946,2,2046000,1547138,938387,60.65,2895,1875,64.77,CD Eligible,2046000
319,2,2046206,1942585,1895424,97.57,4055,1960,48.34,Ineligible,2046206
1789,3,3001300,5722946,1811084,31.65,1750,500,28.57,Ineligible,3001300
2154,2,2046203,4712412,3043715,64.59,6700,4750,70.9,CD Eligible,2046203
318,2,2046204,3084045,2719662,88.18,6545,3295,50.34,Ineligible,2046204
2202,2,2046205,7937668,3193700,40.23,2865,1835,64.05,Ineligible,2046205
2097,3,3000900,7666908,3013074,39.3,4180,660,15.79,Ineligible,3000900
320,2,2046207,3251616,2647967,81.44,6265,3985,63.61,CD Eligible,2046207
2030,2,2046208,2240069,1410385,62.96,4835,2855,59.05,CD Eligible,2046208
321,2,2046209,2234879,1186211,53.08,4740,3410,71.94,CD Eligible,2046209
322,2,2048401,2182405,1247895,57.18,4010,1470,36.66,Ineligible,2048401
323,2,2048402,219485,0,0,0,0,0,Ineligible,2048402
2098,3,3001100,8325970,1151981,13.84,1500,360,24,Ineligible,3001100
2159,3,3003300,6099222,3806319,62.41,4480,1185,26.45,Ineligible,3003300
2155,2,2050400,284701,2530,0.89,0,0,0,Ineligible,2050400
1877,2,2051601,3116620,2428065,77.91,4305,1630,37.86,Ineligible,2051601
1878,2,2051602,170408,25500,14.96,0,0,0,Ineligible,2051602
2232,3,3000100,4843420,3231075,66.71,4405,1025,23.27,Ineligible,3000100
2133,3,3000200,2721761,272869,10.03,960,680,70.83,Ineligible,3000200
1094,3,3000301,3311870,2628827,79.38,3470,595,17.15,Ineligible,3000301
1095,3,3000501,2884721,2163840,75.01,3205,575,17.94,Ineligible,3000501
2233,3,3000502,3265071,1791072,54.86,2545,560,22,Ineligible,3000502
2178,3,3000700,3303651,2703608,81.84,3850,680,17.66,Ineligible,3000700
1134,3,3007600,1600241,1106343,69.14,5425,4325,79.72,CD Eligible,3007600
2094,3,3001501,3944538,2636590,66.84,4810,2795,58.11,CD Eligible,3001501
1096,3,3001502,9560415,4071544,42.59,4600,1620,35.22,Ineligible,3001502
2134,3,3001801,2658842,6709,0.25,0,0,0,Ineligible,3001801
2135,3,3001802,10421663,0,0,0,0,0,Ineligible,3001802
1101,3,3001803,4872320,0,0,0,0,0,Ineligible,3001803
2069,3,3001804,5359400,0,0,0,0,0,Ineligible,3001804
1102,3,3002000,1342225,333358,24.84,1485,1220,82.15,Ineligible,3002000
1119,3,3009800,1910456,1421142,74.39,6020,5095,84.63,CD Eligible,3009800
2113,3,3002100,10526717,5086713,48.32,5130,510,9.94,Ineligible,3002100
2289,3,3002200,3823511,1503039,39.31,4190,3280,78.28,Ineligible,3002200
2103,3,3002300,1596247,1335300,83.65,4135,3805,92.02,CD Eligible,3002300
2147,3,3002901,1313558,964408,73.42,4210,3575,84.92,CD Eligible,3002901
1103,3,3003000,837894,767510,91.6,1545,525,33.98,Ineligible,3003000
1104,3,3003101,4982505,3038671,60.99,2555,575,22.5,Ineligible,3003101
1105,3,3003102,1825,0,0,0,0,0,Ineligible,3003102
1106,3,3003400,1776797,1479326,83.26,3285,1205,36.68,Ineligible,3003400
2160,3,3003500,3990052,1302455,32.64,2045,695,33.99,Ineligible,3003500
1107,3,3003600,2024875,1937173,95.67,3455,1630,47.18,Ineligible,3003600
1108,3,3003700,8459528,3590564,42.44,2485,785,31.59,Ineligible,3003700
1109,3,3003800,911225,845449,92.78,1335,450,33.71,Ineligible,3003800
1110,3,3003900,3130212,1717866,54.88,2315,780,33.69,Ineligible,3003900
671,3,3004100,2867259,1779755,62.07,3250,575,17.69,Ineligible,3004100
994,3,3004300,3037817,1829214,60.21,3560,870,24.44,Ineligible,3004300
1111,3,3004400,1714167,1599068,93.29,2320,565,24.35,Ineligible,3004400
1112,3,3004500,2564152,1991666,77.67,3565,725,20.34,Ineligible,3004500
2065,3,3004600,1181782,791894,67.01,1280,355,27.73,Ineligible,3004600
2216,3,3010000,1921867,1531657,79.7,5970,4865,81.49,CD Eligible,3010000
2324,3,3004700,1445259,933178,64.57,1835,420,22.89,Ineligible,3004700
1113,3,3004900,1897881,1213649,63.95,2240,410,18.3,Ineligible,3004900
1114,3,3005000,1465159,1409584,96.21,2235,495,22.15,Ineligible,3005000
1776,3,3005100,1480337,1083698,73.21,2810,595,21.17,Ineligible,3005100
1115,3,3005201,1161692,1088931,93.74,1570,655,41.72,Ineligible,3005201
1116,3,3005202,1609175,1584808,98.49,2500,875,35,Ineligible,3005202
1117,3,3005301,3766706,1200351,31.87,2210,795,35.97,Ineligible,3005301
1876,3,3005302,2409719,34947,1.45,50,10,20,Ineligible,3005302
1118,3,3005303,2004426,135633,6.77,0,0,0,Ineligible,3005303
1120,3,3005400,1844284,1729831,93.79,3300,1605,48.64,Ineligible,3005400
1121,3,3005601,1671017,1571932,94.07,2420,1150,47.52,Ineligible,3005601
1122,3,3005602,1060906,874741,82.45,1780,710,39.89,Ineligible,3005602
1123,3,3005800,1984467,1484240,74.79,2930,1470,50.17,Ineligible,3005800
1777,3,3005900,2284264,666197,29.16,1115,545,48.88,Ineligible,3005900
1124,3,3006000,1516928,1127126,74.3,3265,1630,49.92,Ineligible,3006000
1125,3,3006200,1543247,1243702,80.59,2605,1090,41.84,Ineligible,3006200
1775,3,3006300,1293275,920872,71.2,2000,485,24.25,Ineligible,3006300
1126,3,3006400,1884511,1587440,84.24,2995,1320,44.07,Ineligible,3006400
1127,3,3006500,2923505,2520767,86.22,5835,1075,18.42,Ineligible,3006500
1128,3,3006600,1996335,1517838,76.03,3610,1730,47.92,Ineligible,3006600
1129,3,3006700,2158151,1789822,82.93,3975,800,20.13,Ineligible,3006700
1130,3,3006800,2373525,1640108,69.1,4530,2760,60.93,CD Eligible,3006800
1008,3,3006901,1074406,860798,80.12,1730,310,17.92,Ineligible,3006901
1023,3,3006902,1327148,882837,66.52,2185,605,27.69,Ineligible,3006902
2302,3,3007000,1387729,1008688,72.69,2365,995,42.07,Ineligible,3007000
1131,3,3007100,1921805,1557176,81.03,4430,3080,69.53,CD Eligible,3007100
1132,3,3007200,564342,483203,85.62,1730,1350,78.03,CD Eligible,3007200
1133,3,3007400,1777338,1278918,71.96,5315,4140,77.89,CD Eligible,3007400
1736,3,3007500,4213882,3362148,79.79,4790,940,19.62,Ineligible,3007500
1737,3,3007700,3876818,2770047,71.45,5295,1510,28.52,Ineligible,3007700
1135,3,3007800,1780306,1259892,70.77,4875,3525,72.31,CD Eligible,3007800
1136,3,3008000,1551851,956424,61.63,3630,1955,53.86,CD Eligible,3008000
1137,3,3008200,1602388,1077430,67.24,3620,2050,56.63,CD Eligible,3008200
1138,3,3008400,2218817,833603,37.57,3615,2600,71.92,Ineligible,3008400
1139,3,3008500,2349569,2289661,97.45,7580,6910,91.16,CD Eligible,3008500
2325,3,3008600,62035,0,0,0,0,0,Ineligible,3008600
1140,3,3008800,1216192,910755,74.89,2225,1225,55.06,CD Eligible,3008800
1141,3,3009001,550487,362387,65.83,1435,1050,73.17,CD Eligible,3009001
1058,3,3009002,595750,336170,56.43,1335,1125,84.27,CD Eligible,3009002
2326,3,3009201,747099,545850,73.06,2010,1095,54.48,CD Eligible,3009201
1076,3,3009202,937848,844578,90.05,3455,2905,84.08,CD Eligible,3009202
1081,3,3009401,794928,689049,86.68,2295,1860,81.05,CD Eligible,3009401
1084,3,3009402,934033,761197,81.5,2740,2140,78.1,CD Eligible,3009402
1097,3,3009600,1779020,1446466,81.31,5860,4535,77.39,CD Eligible,3009600
1814,3,3010100,2902376,1203195,41.46,3925,2125,54.14,Ineligible,3010100
2236,3,3010200,1969835,1268704,64.41,4820,3430,71.16,CD Eligible,3010200
172,3,3010401,1106141,703049,63.56,2150,1785,83.02,CD Eligible,3010401
358,3,3010402,1145299,736984,64.35,2255,1675,74.28,CD Eligible,3010402
407,3,3010601,984018,691393,70.26,2315,1965,84.88,CD Eligible,3010601
625,3,3010602,940272,615041,65.41,1950,1640,84.1,CD Eligible,3010602
654,3,3010801,788844,568240,72.03,1960,1740,88.78,CD Eligible,3010801
743,3,3010802,997814,710288,71.18,2020,1865,92.33,CD Eligible,3010802
812,3,3011000,1243167,620458,49.91,2350,1785,75.96,Ineligible,3011000
985,3,3011200,2298763,1991822,86.65,6075,4840,79.67,CD Eligible,3011200
1142,3,3011400,2939482,1266414,43.08,3245,2940,90.6,Ineligible,3011400
1143,3,3011600,1713807,1372903,80.11,3490,3090,88.54,CD Eligible,3011600
1817,3,3011700,2220843,1256730,56.59,2950,1185,40.17,Ineligible,3011700
1144,3,3011800,1693307,660629,39.01,1950,1420,72.82,Ineligible,3011800
2229,3,3011901,4916188,2112059,42.96,1315,515,39.16,Ineligible,3011901
1156,3,3013300,2340562,1989973,85.02,4460,740,16.59,Ineligible,3013300
1164,3,3014902,1716479,1432476,83.45,4550,885,19.45,Ineligible,3014902
2230,3,3011902,1312165,0,0,0,0,0,Ineligible,3011902
1145,3,3012000,1322163,280405,21.21,1325,1045,78.87,Ineligible,3012000
1146,3,3012100,1468478,822975,56.04,1970,645,32.74,Ineligible,3012100
1147,3,3012200,1925013,1401400,72.8,5145,4170,81.05,CD Eligible,3012200
1148,3,3012600,1102202,844595,76.63,2800,2045,73.04,CD Eligible,3012600
1149,3,3012700,2491186,1761424,70.71,4010,2195,54.74,CD Eligible,3012700
1150,3,3012801,759056,639582,84.26,2280,1615,70.83,CD Eligible,3012801
1151,3,3012901,1797037,1269462,70.64,2250,530,23.56,Ineligible,3012901
1152,3,3012902,3446978,2247476,65.2,2710,740,27.31,Ineligible,3012902
1153,3,3013000,2175488,1715852,78.87,4345,2460,56.62,CD Eligible,3013000
1154,3,3013100,2309989,1868009,80.87,4255,1470,34.55,Ineligible,3013100
1155,3,3013200,854445,716641,83.87,2300,1355,58.91,CD Eligible,3013200
2150,3,3013400,2173438,1597367,73.49,4155,1820,43.8,Ineligible,3013400
2287,3,3013500,2066956,1617132,78.24,4245,825,19.43,Ineligible,3013500
2151,3,3013600,1986137,1737730,87.49,3830,1470,38.38,Ineligible,3013600
1157,3,3013700,2017912,1431487,70.94,3430,1045,30.47,Ineligible,3013700
2149,3,3013800,1816483,1415143,77.91,3520,1880,53.41,CD Eligible,3013800
1158,3,3013900,2074808,1621120,78.13,3500,1070,30.57,Ineligible,3013900
1159,3,3014000,1036498,914727,88.25,1945,1110,57.07,CD Eligible,3014000
1912,3,3014101,1025996,721716,70.34,960,335,34.9,Ineligible,3014101
1913,3,3014102,1401237,1166621,83.26,1865,760,40.75,Ineligible,3014102
1160,3,3014200,1593721,1346346,84.48,2990,1705,57.02,CD Eligible,3014200
1818,3,3014300,2226737,1457177,65.44,3595,1370,38.11,Ineligible,3014300
1816,3,3014500,2177827,1600465,73.49,3885,1815,46.72,Ineligible,3014500
1161,3,3014700,1104497,842003,76.23,2645,1110,41.97,Ineligible,3014700
1162,3,3014800,736625,619985,84.17,1245,495,39.76,Ineligible,3014800
1163,3,3014901,974320,618738,63.5,1375,335,24.36,Ineligible,3014901
1167,3,3015200,1650427,854182,51.76,2510,1160,46.22,Ineligible,3015200
751,3,3015300,2807525,1183479,42.15,2410,855,35.48,Ineligible,3015300
2166,3,3015400,16570,0,0,0,0,0,Ineligible,3015400
2288,3,3015500,2243806,1706513,76.05,3925,705,17.96,Ineligible,3015500
1168,3,3015700,2825727,2217570,78.48,4320,845,19.56,Ineligible,3015700
2306,3,3015900,3495221,2932765,83.91,4770,1055,22.12,Ineligible,3015900
1169,3,3016000,2669661,1538624,57.63,4135,1890,45.71,Ineligible,3016000
1170,3,3016100,2597600,1961405,75.51,3520,625,17.76,Ineligible,3016100
1945,3,3016200,1396988,946717,67.77,2150,1140,53.02,CD Eligible,3016200
1171,3,3016300,3340353,2445781,73.22,3400,1170,34.41,Ineligible,3016300
1180,3,3017500,92440,6525,7.06,0,0,0,Ineligible,3017500
2167,3,3016400,2074039,779277,37.57,1120,340,30.36,Ineligible,3016400
1172,3,3016500,3640631,3273806,89.92,5965,695,11.65,Ineligible,3016500
1173,3,3016600,1370819,1123184,81.94,1850,435,23.51,Ineligible,3016600
1174,3,3016700,2547785,2092247,82.12,4900,915,18.67,Ineligible,3016700
2127,3,3016800,767448,661273,86.17,1925,520,27.01,Ineligible,3016800
1175,3,3016900,2350357,1959362,83.36,4815,1365,28.35,Ineligible,3016900
1176,3,3017000,1457968,1118189,76.7,2935,1340,45.66,Ineligible,3017000
1798,3,3017100,1967161,1700486,86.44,4205,1300,30.92,Ineligible,3017100
1177,3,3017200,1299646,969071,74.56,3270,1605,49.08,Ineligible,3017200
1178,3,3017400,755879,653544,86.46,2155,765,35.5,Ineligible,3017400
1190,3,3018600,747666,725053,96.98,2255,1205,53.44,CD Eligible,3018600
1181,3,3017600,868045,773477,89.11,2455,1115,45.42,Ineligible,3017600
2321,3,3017700,883742,0,0,0,0,0,Ineligible,3017700
1182,3,3017800,1382322,912647,66.02,2850,1760,61.75,CD Eligible,3017800
1183,3,3017900,1941252,1573992,81.08,4055,1805,44.51,Ineligible,3017900
1184,3,3018000,1318660,908724,68.91,3425,1960,57.23,CD Eligible,3018000
1185,3,3018100,2457304,1980480,80.6,3765,935,24.83,Ineligible,3018100
1186,3,3018200,1373267,953108,69.4,3420,2015,58.92,CD Eligible,3018200
1187,3,3018300,1938852,1433954,73.96,2660,585,21.99,Ineligible,3018300
1188,3,3018400,899784,722773,80.33,2320,1235,53.23,CD Eligible,3018400
1189,3,3018501,1307181,1268272,97.02,4010,3180,79.3,CD Eligible,3018501
1179,3,3019000,1954106,1541934,78.91,4535,2380,52.48,CD Eligible,3019000
1194,3,3019100,2416173,1378807,57.07,2880,1190,41.32,Ineligible,3019100
1195,3,3019200,1459019,803958,55.1,2695,2160,80.15,CD Eligible,3019200
1196,3,3019300,4536067,3150077,69.45,4415,2455,55.61,CD Eligible,3019300
1197,3,3019400,1539745,1032838,67.08,3440,2250,65.41,CD Eligible,3019400
1198,3,3019500,2413711,2014550,83.46,3110,1530,49.2,Ineligible,3019500
1199,3,3019600,1798446,1308832,72.78,4070,2565,63.02,CD Eligible,3019600
1200,3,3019700,2495468,1898993,76.1,3650,880,24.11,Ineligible,3019700
1201,3,3019800,865292,701686,81.09,1875,1145,61.07,CD Eligible,3019800
1202,3,3019900,3878869,2275577,58.67,3725,1325,35.57,Ineligible,3019900
1203,3,3020000,967722,794955,82.15,2300,1280,55.65,CD Eligible,3020000
1204,3,3020100,2404873,2000321,83.18,3940,1580,40.1,Ineligible,3020100
1205,3,3020200,818454,764691,93.43,1965,790,40.2,Ineligible,3020200
2104,3,3020300,1708214,1202136,70.37,1750,605,34.57,Ineligible,3020300
1206,3,3020400,867709,804766,92.75,1710,610,35.67,Ineligible,3020400
1207,3,3020500,2114297,1481336,70.06,3150,995,31.59,Ineligible,3020500
1193,3,3020600,1382922,922834,66.73,2340,1010,43.16,Ineligible,3020600
1208,3,3020700,2568191,2268517,88.33,4490,895,19.93,Ineligible,3020700
1209,3,3020800,1315011,1037043,78.86,3160,2210,69.94,CD Eligible,3020800
1210,3,3021000,1424194,1201683,84.38,3935,2865,72.81,CD Eligible,3021000
2148,3,3021100,3901510,1238388,31.74,2785,1520,54.58,Ineligible,3021100
1211,3,3021200,1609151,1186962,73.76,4125,2835,68.73,CD Eligible,3021200
2304,3,3021300,3399145,2559808,75.31,4170,2650,63.55,CD Eligible,3021300
1212,3,3021400,1076830,623818,57.93,2130,1600,75.12,CD Eligible,3021400
1213,3,3021500,3028228,2747382,90.73,6005,2155,35.89,Ineligible,3021500
1214,3,3021600,1729630,1430120,82.68,3770,2995,79.44,CD Eligible,3021600
1215,3,3021700,1969432,1566190,79.52,3385,1810,53.47,CD Eligible,3021700
1216,3,3021800,1619375,1283361,79.25,2895,2445,84.46,CD Eligible,3021800
2174,3,3021900,2259989,1801585,79.72,3610,1570,43.49,Ineligible,3021900
1217,3,3022000,2578114,1721902,66.79,4885,4010,82.09,CD Eligible,3022000
